Experiment,Features,Sampling,Mean AUPRC,Std AUPRC,Reference,Improvement vs Baseline
1. Naive Baseline,106,None,0.31986665133594344,0.018124862114382613,None,0.0
2. Class Weights,106,Weighted,0.3011243933353132,0.016398530196338676,Prokhorenkova 2018,-5.859397321462552
3. RUS Only,106,1:9 RUS,0.31594504492652525,0.01654474080515834,Kubat 1997,-1.2260129003881302
4. FS Only,20,None,0.32054660924958206,0.016737978706514643,Guyon 2003,0.21257543129261225
5. RUS + FS,20,1:9 RUS,0.3182355975064025,0.018004096913254917,Hancock 2023,-0.5099168114990197
