Architecture,Mean AUPRC,Std AUPRC,Parameters,Trainable Params,Avg Train Time (s/epoch),Avg Inference Time (ms)
GRU,0.3901082967857103,0.02300647685200293,58049,58049,1.2054797159750843,0.00637915347285078
Conv-LSTM,0.38727890751467353,0.027141149811241338,87041,87041,1.503883258778116,0.004438375750258615
Bidirectional LSTM,0.38387911956491055,0.02255155748643046,187521,187521,1.5912310476375349,0.0032456549724462678
Vanilla LSTM,0.3684205304047865,0.02527911347372053,77377,77377,1.1420054844746552,0.0024598181501852877
